city,station_id,lat,lon,timezone,kalshi_series
New York,USW00094728,40.6386,-73.7622,America/New_York,KXHIGHNYC
Chicago,USW00094846,41.9803,-87.9090,America/Chicago,KXHIGHCHI
Phoenix,USW00023183,33.4373,-112.0078,America/Phoenix,KXHIGHPHX
Miami,USW00092811,25.7959,-80.2870,America/New_York,KXHIGHMIA
Denver,USW00023062,39.8561,-104.6758,America/Denver,KXHIGHDEN
Atlanta,USW00013874,33.6407,-84.4279,America/New_York,KXHIGHATL
Los Angeles,USW00023174,33.9381,-118.3889,America/Los_Angeles,KXHIGHLA
Houston,USW00012960,29.9836,-95.3414,America/Chicago,KXHIGHHOUS
Austin,USW00013904,30.1953,-97.6674,America/Chicago,KXHIGHAUS
Philadelphia,USW00013739,39.8721,-75.2424,America/New_York,KXHIGHPHL
Washington DC,USW00013743,38.8530,-77.0306,America/New_York,KXHIGHDC
Las Vegas,USW00023169,36.0717,-115.1675,America/Los_Angeles,KXHIGHLAS
Oklahoma City,USW00013967,35.3931,-97.6017,America/Chicago,KXHIGHOKC
San Francisco,USW00023234,37.6197,-122.3647,America/Los_Angeles,KXHIGHSF
Seattle,USW00024233,47.4444,-122.3139,America/Los_Angeles,KXHIGHSEA
Dallas,USW00003927,32.8975,-97.0408,America/Chicago,KXHIGHDAL
New Orleans,USW00012916,29.9931,-90.2556,America/Chicago,KXHIGHNO
Boston,USW00014739,42.3606,-71.0106,America/New_York,KXHIGHBOS
Minneapolis,USW00014922,44.8833,-93.2289,America/Chicago,KXHIGHMPLS
San Antonio,USW00012921,29.5336,-98.4697,America/Chicago,KXHIGHSA
