date,city,gefs_spread
2026-03-14,Philadelphia,0.84
2026-03-15,Philadelphia,0.55
2026-03-16,Philadelphia,1.85
2026-03-17,Philadelphia,7.18
2026-03-18,Philadelphia,3.88
2026-03-19,Philadelphia,3.24
2026-03-20,Philadelphia,5.25
2026-03-21,Philadelphia,10.96
2026-03-22,Philadelphia,8.85
2026-03-23,Philadelphia,7.51
2026-03-12,Phoenix,0.33
2026-03-13,Phoenix,0.3
2026-03-14,Phoenix,0.54
2026-03-15,Phoenix,0.65
2026-03-16,Phoenix,0.93
2026-03-17,Phoenix,1.25
2026-03-18,Phoenix,1.22
2026-03-19,Phoenix,1.21
2026-03-20,Phoenix,1.37
2026-03-21,Phoenix,1.63
2026-03-22,Phoenix,3.05
2026-03-23,Phoenix,2.95
2026-03-12,San Antonio,0.8
2026-03-13,San Antonio,1.48
2026-03-14,San Antonio,1.39
2026-03-15,San Antonio,1.13
2026-03-16,San Antonio,1.37
2026-03-17,San Antonio,3.38
2026-03-18,San Antonio,3.79
2026-03-19,San Antonio,3.82
2026-03-20,San Antonio,3.26
2026-03-21,San Antonio,3.0
2026-03-22,San Antonio,3.99
2026-03-23,San Antonio,5.16
2026-03-12,San Francisco,0.34
2026-03-13,San Francisco,0.33
2026-03-14,San Francisco,0.46
2026-03-15,San Francisco,0.69
2026-03-16,San Francisco,0.52
2026-03-17,San Francisco,0.94
2026-03-18,San Francisco,1.45
2026-03-19,San Francisco,1.48
2026-03-20,San Francisco,2.95
2026-03-21,San Francisco,4.19
2026-03-22,San Francisco,2.98
2026-03-23,San Francisco,3.22
2026-03-12,Seattle,0.42
2026-03-13,Seattle,0.7
2026-03-14,Seattle,0.48
2026-03-15,Seattle,1.35
2026-03-16,Seattle,1.13
2026-03-17,Seattle,1.32
2026-03-18,Seattle,1.81
2026-03-19,Seattle,2.59
2026-03-20,Seattle,2.5
2026-03-21,Seattle,2.9
2026-03-22,Seattle,4.36
2026-03-23,Seattle,3.85
2026-03-12,Washington DC,0.6
2026-03-13,Washington DC,0.56
2026-03-14,Washington DC,1.23
2026-03-15,Washington DC,0.57
2026-03-16,Washington DC,1.1
2026-03-17,Washington DC,2.37
2026-03-18,Washington DC,3.47
2026-03-19,Washington DC,3.18
2026-03-20,Washington DC,5.96
2026-03-21,Washington DC,11.38
2026-03-22,Washington DC,9.68
2026-03-23,Washington DC,9.16
